Length,Freq,Freq_model
1.0,0.06984387838948233,0.0454422289140447
2.0,0.08572993700356067,0.0803385584862874
3.0,0.09257737606135305,0.10283154187042709
4.0,0.10709394686387291,0.11049627977690316
5.0,0.10024650780608052,0.10715806571903194
6.0,0.09668583949602849,0.09736545316093467
7.0,0.07997808819501506,0.08468031958561399
8.0,0.0657354149548069,0.07143512957519245
9.0,0.07121336620104081,0.05896136115219075
10.0,0.0479320734045467,0.04789961229737062
11.0,0.038071761161325664,0.03846156052122607
12.0,0.030676526978909886,0.03061718744258844
13.0,0.027115858668857847,0.024216322761426677
14.0,0.021364009860312245,0.0190619010246532
15.0,0.015338263489454943,0.014950930190121212
16.0,0.012873185428649686,0.011695245171670908
17.0,0.010408107367844427,0.00913030487127306
18.0,0.005204053683922213,0.007117335723916478
19.0,0.004382360996987127,0.00554206324814073
20.0,0.004108463434675432,0.004311923983076955
21.0,0.0024650780608052587,0.0033528071815008514
22.0,0.001917282936181868,0.0026058690357875754
23.0,0.001917282936181868,0.0020246692824201296
24.0,0.001369487811558477,0.0015727180173212946
25.0,0.0016433853738701725,0.0012214362188628328
26.0,0.0002738975623116954,0.0009484937287518191
27.0,0.0010955902492467817,0.0007364733055714661
28.0,0.0008216926869350862,0.000571807104642733
29.0,0.0005477951246233908,0.00044393585266946407
30.0,0.0005477951246233908,0.0003446473850220924
31.0,0.0002738975623116954,0.0002675581590099983
32.0,0.0002738975623116954,0.00020770790528153472
33.0,0.0,0.00016124333674078867
34.0,0.0,0.0001251716939321951
35.0,0.0,9.716890353065438e-05
36.0,0.0002738975623116954,7.543035949915226e-05
37.0,0.0,5.855492044681091e-05
38.0,0.0,4.545476510057382e-05
39.0,0.0,3.528536215770624e-05
40.0,0.0,2.7391077768348787e-05
41.0,0.0,2.1262935260526482e-05
42.0,0.0,1.6505815732131754e-05
43.0,0.0,1.2812991493471967e-05
44.0,0.0,9.94635413563875e-06
45.0,0.0,7.721064487564016e-06
46.0,0.0,5.993635893849248e-06
47.0,0.0,4.652683091962408e-06
48.0,0.0,3.611740546958512e-06
49.0,0.0,2.803687374269945e-06
50.0,0.0,2.1764194815314135e-06
